Cantidad de solicitudes,Tiempo de ejecución,Tiempo promedio por solicitud,Consumo de memoria
6,622709,103784,38640
Cantidad de solicitudes,Tiempo de ejecución,Tiempo promedio por solicitud,Consumo de memoria
16,1641770,102610,102656
Cantidad de solicitudes,Tiempo de ejecución,Tiempo promedio por solicitud,Consumo de memoria
1,94896,94896,6580
Cantidad de solicitudes,Tiempo de ejecución,Tiempo promedio por solicitud,Consumo de memoria
4,382704,95676,25920
Cantidad de solicitudes,Tiempo de ejecución,Tiempo promedio por solicitud,Consumo de memoria
9,873211,97023,57604
Cantidad de solicitudes,Tiempo de ejecución,Tiempo promedio por solicitud,Consumo de memoria
2,199969,99984,13224
